token,frequency,length_glyphs,neighbors_distance_1,examples_distance_1,neighbors_distance_2,examples_distance_2,neighbors_within_2
L1K2B1A2,55,4,6,L1J1B1A2|L1K2A2|K1K2B1A2|L1A1B1A2|Q1K2B1A2|L1B1A2,29,K1J1B1A2|B1A2|L1J1A2|K1K2A2|K1B1A2|L1A2|A1Q2K2B1A2|A1Q1K2B1A2|K1A1B1A2|A1B1A2,35
D1A1Q1K1A2,53,5,8,D1A1Q1K2A2|D1A1Q1A2|D1A1Q1J1A2|D1A1Q2K1A2|D1A1Q1K1B1A2|D1A1Q1M1A2|D1A1Q1K1J1A2|A1Q1K1A2,29,D1A1Q1K2B1A2|D1A1Q1A3F1|D1A1Q1A3G1|D1A1Q1J1B1A2|D1A1Q1A3B2|A1Q1K2A2|D1A1Q1A3C1|D1A1Q1A1B2|A1Q1A2|D1A1Q2A2,37
C2A3C1,52,3,11,A3C1|B1A3C1|C2A3G1|K1A3C1|C2A3F1|Q1A3C1|C2A1C1|C2A3B2|Q2A3C1|L1A3C1,52,B1A3G1|A3G1|A1C1|C2|A3B2|B1A3B2|K1A1C1|B1A3F1|C1|A1Q2A3C1,63
A1B1A3G1,50,4,13,B1A3G1|A1Q1A3G1|A1Q2A3G1|D1A1B1A3G1|K1A1B1A3G1|A1B2A3G1|A1C1A3G1|A1B1A3C1|A1B1A3B2|K1B1A3G1,36,A3G1|B1A3C1|D1A1Q1A3G1|B1A3B2|B1A3F1|A1Q2A3C1|A1Q1A3C1|A1Q1A3B2|A1Q2A3B2|C2A3G1,49
C1A3G1,50,3,11,B1A3G1|A3G1|C2A3G1|Q1A3G1|K1A3G1|Q2A3G1|A1C1A3G1|L1A3G1|C1A3F1|A1A3G1,41,A3C1|B1A3C1|A3B2|B1A3B2|B1A3F1|A1Q1A3G1|A1Q2A3G1|C1|A3F1|B1A3F3,52
D1A1Q2K1A2,49,5,7,D1A1Q2A2|D1A1Q1K1A2|D1A1Q2K2A2|A1Q2K1A2|D1A1Q2J1A2|D1A1Q2K1B1A2|D1A1Q2K1J1A2,26,D1A1Q1K2A2|A1Q2K2A2|D1A1Q1A2|A1Q2A2|D1A1Q2A3G1|D1A1Q2J1B1A2|D1A1Q2K2B1A2|D1A1Q1J1A2|D1A1Q2A3B2|D1A1Q2A3F1,33
K1K2B1A2,47,4,7,K1J1B1A2|K1K2A2|K1B1A2|K1A1B1A2|L1K2B1A2|Q1K2B1A2|K1K2Q1A2,40,L1J1B1A2|K1J1A2|B1A2|K1A2|L1K2A2|K1U1A2|B2K1J1B1A2|A1Q2K2B1A2|A1Q1K2B1A2|K1J1A1B1A2,47
C2A1B2,46,3,14,A1B2|K1A1B2|L1A1B2|D1A1B2|B1A1B2|U2A1B2|C2A1C1|Q2A1B2|C2A3B2|Q1A1B2,43,A1C1|C2|A3B2|B1A3B2|K1A1C1|A1|B2|K1J1A1B2|C2A3G1|L1A1,57
D1A1Q2A3B2,46,5,6,D1A1Q1A3B2|A1Q2A3B2|D1A1Q2A3G1|D1A1Q2A3F1|D1A1Q2A3C1|D1A1Q2A1B2,22,D1A1Q1A3F1|D1A1Q1A3G1|D1A1Q1A3C1|A1Q2A3G1|D1A1B2|A1Q2A3C1|A1Q1A3B2|D1A1Q1A1B2|A1Q2A3F1|D1A1Q2A2,28
D1A1Q2A3F1,46,5,5,D1A1Q1A3F1|A1Q2A3F1|D1A1Q2A3G1|D1A1Q2A3B2|D1A1Q2A3C1,18,D1A1Q1A3G1|D1A1Q1A3B2|D1A1Q1A3C1|A1Q2A3G1|A1Q2A3C1|A1Q2A3B2|A1Q1A3F1|D1A1Q2A2|D1A1Q2K1A2|D1A1Q2A1B2,23
U2A1B2,44,3,12,A1B2|K1A1B2|L1A1B2|D1A1B2|B1A1B2|C2A1B2|U2A1C1|Q2A1B2|Q1A1B2|B2A1B2,41,A1C1|A3B2|B1A3B2|K1A1C1|A1|B2|K1J1A1B2|U2A2|L1A1|L1J1A1B2,53
C2A3F1,43,3,9,B1A3F1|C2A3G1|A3F1|C2A3C1|Q1A3F1|C2A3B2|C2A3F3|C1A3F1|K1A3F1,36,B1A3G1|A3G1|A3C1|C2|B1A3C1|A3B2|B1A3B2|A1Q1A3F1|B1A3F3|A1Q2A3F1,45
D1A1Q2A3C1,43,5,6,D1A1Q1A3C1|A1Q2A3C1|D1A1Q2A3G1|D1A1Q2A3B2|D1A1Q2A3F1|D1A1Q2A1C1,23,D1A1Q1A3F1|D1A1Q1A3G1|D1A1Q1A3B2|A1Q2A3G1|A1Q1A3C1|A1Q2A3B2|A1Q2A3F1|D1A1Q2A2|D1A1Q2K1A2|D1A1Q2A1B2,29
L1A1B1A2,43,4,7,L1J1B1A2|K1A1B1A2|L1K2B1A2|A1B1A2|L1J1A1B1A2|L1B1A2|D1A1B1A2,36,K1J1B1A2|B1A2|L1J1A2|L1A1B2|K1B1A2|L1K2A2|D1A1Q1A2|A1Q2A2|L1A1|L1A2,43
K1J1Q1A2,42,4,7,K1J1B1A2|K1J1A2|K1J1U1A2|K1A1Q1A2|K1J1U2A2|L1J1Q1A2|K1K2Q1A2,39,L1J1B1A2|L1J1A2|K1K2A2|K1J1A1B2|K1A2|K1B1A2|D1A1Q1A2|K1U1A2|B2K1J1B1A2|A1Q1A2,46
A2Q1K2A2,41,4,8,A1Q1K2A2|Q1K2A2|B2Q1K2A2|A2Q2K2A2|A2Q1K2B1A2|A2Q1K1A2|A2K1K2A2|A2Q1A2,24,D1A1Q1K2A2|K1K2A2|L1K2A2|A1Q2K2A2|A1Q1A2|A1Q1K2B1A2|Q1K2B1A2|A2Q1A3G1|A1Q1J1A2|B2Q1K2B1A2,32
B1A1C1,41,3,12,A1C1|B1A3C1|K1A1C1|B1A1B2|L1A1C1|U2A1C1|C2A1C1|B2A1C1|B1K1A1C1|Q1A1C1,49,B1A3G1|A1B2|K1A1B2|A3C1|B1A2|B1A3B2|B1A3F1|L1A1B2|A1|C1,61
Q1K2B1A2,40,4,7,A1Q1K2B1A2|L1K2B1A2|K1K2B1A2|Q1J1B1A2|Q1K2A2|B2Q1K2B1A2|A2Q1K2B1A2,31,K1J1B1A2|L1J1B1A2|D1A1Q1K2B1A2|B1A2|K1K2A2|A1Q1K2A2|K1B1A2|L1K2A2|A1Q1J1B1A2|A1Q2K2B1A2,38
A1Q1J1A1B2,39,5,5,A1Q1A1B2|D1A1Q1J1A1B2|A1Q2J1A1B2|Q1J1A1B2|A1Q1J1A1,16,K1J1A1B2|A1Q1A3B2|D1A1Q1A1B2|L1J1A1B2|A1Q1J1B1A2|A1Q2A1B2|A1Q1J1A2|Q1A1B2|A1Q2K1A1B2|A1Q1A1C1,21
D1A1Q2A1B2,39,5,4,D1A1Q1A1B2|A1Q2A1B2|D1A1Q2A3B2|D1A1Q2A1C1,19,D1A1Q1A3B2|D1A1B2|A1Q2A3B2|D1A1Q2A2|D1A1Q2A3G1|A1Q1A1B2|D1A1Q2K1A2|D1A1Q2A3F1|D1A1Q2A3C1|Q2A1B2,23
A1B2A2,38,3,8,A1B2|A1Q2A2|A1Q1A2|A1B1A2|A1B2Q1A2|A1B2C2|A1B2B1A2|A1C1A2,74,A1C1|K1A1B2|K1J1A2|A2|B1A2|L1J1A2|A3B2|K1K2A2|L1A1B2|A1,82
Q1A3C1,38,3,13,A3C1|B1A3C1|A1Q1A3C1|Q1A3G1|K1A3C1|C2A3C1|Q1A3F1|Q2A3C1|A2Q1A3C1|L1A3C1,61,B1A3G1|A3G1|A1C1|A3B2|B1A3B2|K1A1C1|B1A3F1|A1Q1A3G1|D1A1Q1A3C1|C1,74
A1B1A2,37,3,12,B1A2|K1B1A2|A1Q2A2|A1Q1A2|K1A1B1A2|L1A1B1A2|A1B2A2|L1B1A2|B2B1A2|A1B2B1A2,72,A1B2|K1J1B1A2|A1C1|L1J1B1A2|K1J1A2|A2|L1J1A2|K1K2A2|A1|A1Q1K2A2,84
A1B2Q1K2B1A2,37,6,4,A1Q1K2B1A2|B2Q1K2B1A2|A1B2Q1K2A2|A1B2Q1J1B1A2,12,D1A1Q1K2B1A2|A1Q1K2A2|A1Q1J1B1A2|A1Q2K2B1A2|Q1K2B1A2|B2Q1K2A2|A2Q1K2B1A2|A1B2K1J1B1A2|A1Q1K1B1A2|B2Q1J1B1A2,16
D1A1B1A3G1,37,5,6,D1A1Q1A3G1|D1A1Q2A3G1|A1B1A3G1|K1A1B1A3G1|L1A1B1A3G1|D1A1A3G1,19,B1A3G1|D1A1Q1A3F1|A1Q1A3G1|D1A1Q1A3B2|D1A1Q1A3C1|A1Q2A3G1|D1A1Q2A3B2|D1A1Q2A3F1|D1A1Q2A3C1|A1B2A3G1,25
K1J1A3C1,37,4,6,K1J1A1C1|K1A3C1|K1J1B1A3C1|K1B1A3C1|K1J1A3B2|L1J1A3C1,31,K1J1B1A2|A3C1|K1J1A2|B1A3C1|K1A1C1|K1J1A1B2|A1Q2A3C1|A1Q1A3C1|K1J1A1|C2A3C1,37
A1Q2A3B3,36,4,6,A1Q2A3G1|A1Q2A3C1|A1Q2A3B2|A1Q2A3F1|A1Q1A3B3|A1Q2A3F3,30,A1Q1A3G1|A1Q2K2A2|A1Q1A3C1|A1Q1A3B2|A1Q1A3F1|A1Q2A2|A3B3|B1A3B3|D1A1Q2A3G1|A1Q2A1B2,36
A2Q1A3G1,36,4,6,A1Q1A3G1|Q1A3G1|A2Q2A3G1|B2Q1A3G1|A2Q1A3C1|A2B1A3G1,30,B1A3G1|A3G1|D1A1Q1A3G1|A1Q2A3G1|A1Q1A3C1|A1Q1A3B2|C2A3G1|A1Q1A3F1|A1B1A3G1|C1A3G1,36
A3H1,36,2,8,A3G1|A3C1|A3B2|A3F1|A3B3|A3F3|A3G3|B1A3H1,56,B1A3G1|A1B2|A1C1|C2|B1A3C1|A2|B1A2|B1A3B2|B1A3F1|A1,64
K1A3G1,36,3,12,B1A3G1|A3G1|C2A3G1|Q1A3G1|K1A3C1|C1A3G1|Q2A3G1|K1A3B2|K1B1A3G1|L1A3G1,59,K1A1B2|A3C1|K1J1A2|B1A3C1|A3B2|B1A3B2|K1A1C1|B1A3F1|A1Q1A3G1|K1K2A2,71
U2A1C1,36,3,10,A1C1|K1A1C1|L1A1C1|U2A1B2|B1A1C1|C2A1C1|B2A1C1|Q1A1C1|Q2A1C1|D1A1C1,38,A1B2|K1A1B2|A3C1|B1A3C1|L1A1B2|A1|C1|D1A1B2|U2A2|L1A1,48
A2Q2A3G1,35,4,5,A1Q2A3G1|A2Q1A3G1|Q2A3G1|A2Q2A3C1|A2B1A3G1,28,B1A3G1|A3G1|A1Q1A3G1|A1Q2A3C1|A1Q2A3B2|C2A3G1|A1Q2A3F1|D1A1Q2A3G1|Q1A3G1|A1B1A3G1,33
D1A1Q1K1B1A2,35,6,7,D1A1Q1K2B1A2|D1A1Q1J1B1A2|D1A1Q1K1A2|D1A1Q1K1J1B1A2|D1A1Q1K1J1A2|A1Q1K1B1A2|D1A1Q2K1B1A2,21,D1A1Q1K2A2|D1A1Q1A2|A1Q1J1B1A2|A1Q1K2B1A2|D1A1Q2J1B1A2|D1A1Q2K2B1A2|D1A1Q1J1A2|D1A1Q2K1A2|A1Q1K1J1A2|A1Q2K1B1A2,28
K1A1B1A3G1,35,5,5,A1B1A3G1|D1A1B1A3G1|K1J1B1A3G1|K1B1A3G1|L1A1B1A3G1,19,B1A3G1|D1A1Q1A3G1|A1Q1A3G1|A1Q2A3G1|D1A1Q2A3G1|K1A1B1A2|K1A3G1|A1B2A3G1|K1J1B1A3C1|A1C1A3G1,24
U2J1A2,35,3,3,K1J1A2|L1J1A2|U2A2,53,K1J1B1A2|L1J1B1A2|A2|B1A2|K1K2A2|K1A2|K1B1A2|L1K2A2|K1U1A2|A1Q2A2,56
A1B2A3G1,34,4,6,A1Q1A3G1|A1Q2A3G1|A1B1A3G1|A1C1A3G1|A1B2Q1A3G1|A1A3G1,40,B1A3G1|A1B2|A3G1|D1A1Q1A3G1|A1Q2A3C1|A1Q1A3C1|A1Q1A3B2|A1Q2A3B2|C2A3G1|A1Q1A3F1,46
A1Q2J1A2,34,4,8,A1Q2J1B1A2|A1Q2K2A2|A1Q2A2|A1Q1J1A2|A1Q2K1A2|A1Q2K1J1A2|D1A1Q2J1A2|A2Q2J1A2,50,K1J1A2|L1J1A2|A1Q1K2A2|A1Q2A3G1|A1Q2A3C1|A1Q2A3B2|A1Q1J1B1A2|A1Q2A3F1|A1Q2K2B1A2|A1Q1A2,58
B2K1J1A2,34,4,5,K1J1A2|B2K1J1B1A2|Q2K1J1A2|A2K1J1A2|A1B2K1J1A2,34,K1J1B1A2|L1J1A2|K1K2A2|K1A2|K1B1A2|K1U1A2|K1U2A2|K1J1A1|K1J1Q1A2|U2J1A2,39
C2A1C1,34,3,12,A1C1|K1A1C1|L1A1C1|C2A3C1|C2A1B2|B1A1C1|U2A1C1|B2A1C1|Q1A1C1|Q2A1C1,40,A1B2|K1A1B2|A3C1|C2|B1A3C1|L1A1B2|A1|C1|D1A1B2|C2A3G1,52
D1A1,34,2,5,A1|D1A1B2|L1A1|K1A1|D1A1C1,58,A1B2|A3G1|A1C1|K1A1B2|A3C1|C2|A2|B1A2|A3B2|K1A1C1,63
Q1J1B1A2,34,4,8,K1J1B1A2|L1J1B1A2|A1Q1J1B1A2|Q1K2B1A2|Q2J1B1A2|B2Q1J1B1A2|A2Q1J1B1A2|Q1K1J1B1A2,43,K1J1A2|D1A1Q1J1B1A2|B1A2|L1J1A2|A1Q2J1B1A2|K1B1A2|B2K1J1B1A2|A1Q1K2B1A2|K1J1A1B1A2|K1A1B1A2,51
Q1K2A2,34,3,9,K1K2A2|A1Q1K2A2|L1K2A2|A2Q1K2A2|Q1K2B1A2|B2Q1K2A2|Q1A2|Q1K1A2|Q2K2A2,54,K1J1A2|D1A1Q1K2A2|A2|B1A2|L1J1A2|K1A2|K1B1A2|A1Q2K2A2|K1U1A2|U2A2,63
K1J1B1A3G1,33,5,5,K1A1B1A3G1|K1J1B1A3C1|K1J1B1A3B2|K1J1B1A3F1|K1B1A3G1,11,B1A3G1|K1J1B1A2|A1B1A3G1|D1A1B1A3G1|K1J1A3C1|K1A3G1|K1B1A3C1|K1J1A3B2|L1A1B1A3G1|K1B1A3B2,16
Q2A1B2,33,3,16,A1B2|K1A1B2|L1A1B2|D1A1B2|B1A1B2|A1Q2A1B2|C2A1B2|U2A1B2|Q1A1B2|B2A1B2,46,A1C1|A3B2|B1A3B2|K1A1C1|A1|B2|K1J1A1B2|A1Q2A3B2|L1A1|L1J1A1B2,62
A1Q1J1A2,32,4,9,A1Q1K2A2|A1Q1J1B1A2|A1Q1A2|D1A1Q1J1A2|A1Q2J1A2|A1Q1K1J1A2|A1Q1K1A2|A1Q1M1A2|A1Q1J1A1,55,K1J1A2|D1A1Q1K2A2|D1A1Q1J1B1A2|L1J1A2|A1Q1A3G1|A1Q2J1B1A2|A1Q2K2A2|A1Q1A3C1|A1Q1A3B2|D1A1Q1A2,64
B2Q1A3G1,32,4,6,A1Q1A3G1|Q1A3G1|A2Q1A3G1|B2Q1A3F1|A1B2Q1A3G1|B2Q1A3C1,30,B1A3G1|A3G1|D1A1Q1A3G1|A1Q2A3G1|A1Q1A3C1|A1Q1A3B2|C2A3G1|A1Q1A3F1|A1B1A3G1|C1A3G1,36
D1A1Q1J1A1B2,32,6,3,D1A1Q1A1B2|A1Q1J1A1B2|D1A1Q1K1A1B2,10,D1A1Q1J1B1A2|D1A1Q1A3B2|A1Q1A1B2|D1A1Q1J1A2|D1A1Q2A1B2|A1Q2J1A1B2|D1A1Q1J1A1B1A2|D1A1Q1A1C1|Q1J1A1B2|A1Q1J1A1,13
K1J1C2,32,3,5,K1J1A2|K1J1A1|K1J1A1C2|K1K2C2|K1A1C2,33,K1J1B1A2|K1A1B2|C2|L1J1A2|K1A1C1|K1K2A2|K1J1A1B2|K1A2|K1B1A2|K1U1A2,38
K1J1U1A2,32,4,7,K1J1B1A2|K1J1A2|K1U1A2|K1J1Q1A2|L1J1U1A2|K1J1U2A2|K1A1U1A2,35,L1J1B1A2|L1J1A2|K1K2A2|K1J1A1B2|K1A2|K1B1A2|B2K1J1B1A2|K1J1A1B1A2|K1A1B1A2|K1J1A1C1,42
L1J1A1C1,32,4,5,L1J1A1B2|L1A1C1|K1J1A1C1|L1J1A1|L1J1A3C1,29,A1C1|L1J1B1A2|L1J1A2|K1A1C1|L1A1B2|K1J1A1B2|L1A1|K1J1A1|B1A1C1|K1J1A3C1,34
Q2A3G1,32,3,12,B1A3G1|A3G1|A1Q2A3G1|C2A3G1|Q1A3G1|C1A3G1|K1A3G1|A2Q2A3G1|Q2A3C1|L1A3G1,50,A3C1|B1A3C1|A3B2|B1A3B2|B1A3F1|A1Q1A3G1|A1Q2A3C1|A1Q2A3B2|A3F1|B1A3F3,62
A1B2Q1A3F1,31,5,4,A1Q1A3F1|B2Q1A3F1|A1B2Q1A3G1|A1B2Q1A3C1,13,D1A1Q1A3F1|A1Q1A3G1|A1Q1A3C1|A1Q1A3B2|A1Q2A3F1|A1B2A3G1|B2Q1A3G1|Q1A3F1|A1B2Q1K2A2|A1Q1A3B3,17
A1P1K1J1B1A2,31,6,7,A1Q2K1J1B1A2|D1A1P1K1J1B1A2|P1K1J1B1A2|A1B2K1J1B1A2|A1P1K1J1A2|A1Q1K1J1B1A2|A1P1K1B1A2,15,K1J1B1A2|A1Q2J1B1A2|B2K1J1B1A2|A1Q1J1B1A2|D1A1Q1K1J1B1A2|A1Q1K1J1A2|Q2K1J1B1A2|A1Q2K1B1A2|D1A1Q2K1J1B1A2|A1Q1K1B1A2,22
B2A1C1,31,3,11,A1C1|K1A1C1|L1A1C1|B1A1C1|U2A1C1|C2A1C1|B2A1B2|A1B2A1C1|Q1A1C1|Q2A1C1,39,A1B2|K1A1B2|A3C1|B1A3C1|L1A1B2|A1|B2|C1|D1A1B2|L1A1,50
B2Q1K2A2,31,4,6,A1Q1K2A2|A2Q1K2A2|Q1K2A2|B2Q1K2B1A2|A1B2Q1K2A2|B2Q1A2,27,D1A1Q1K2A2|K1K2A2|L1K2A2|A1Q2K2A2|A1Q1A2|A1Q1K2B1A2|Q1K2B1A2|A1B2Q1K2B1A2|B2K1J1A2|A1Q1J1A2,33
D1A1Q2K2A2,31,5,7,D1A1Q1K2A2|A1Q2K2A2|D1A1Q2A2|D1A1Q2K2B1A2|D1A1Q2K1A2|D1A1Q2J1A2|D1A1K2A2,24,D1A1Q1K2B1A2|A1Q1K2A2|D1A1Q1A2|A1Q2A2|A1Q2K2B1A2|D1A1Q2A3G1|D1A1Q2J1B1A2|D1A1Q1J1A2|D1A1Q1K1A2|D1A1Q2A3B2,31
L1J1A1,31,3,6,L1J1A2|L1A1|L1J1A1B2|K1J1A1|L1J1A1C1|L1J1,27,L1J1B1A2|K1J1A2|L1A1B2|A1|K1J1A1B2|L1K2A2|L1A2|L1A1C1|K1J1A1C1|K1A1,33
Q1A3F1,31,3,10,B1A3F1|A1Q1A3F1|A3F1|Q1A3G1|C2A3F1|Q1A3C1|B2Q1A3F1|Q1A3B2|C1A3F1|K1A3F1,46,B1A3G1|A3G1|A3C1|B1A3C1|D1A1Q1A3F1|A3B2|B1A3B2|A1Q1A3G1|A1Q1A3C1|A1Q1A3B2,56
A1Q2A1C1,30,4,6,A1Q2A3C1|A1Q2A1B2|A1B2A1C1|A1Q1A1C1|D1A1Q2A1C1|Q2A1C1,37,A1C1|K1A1C1|A1Q2A3G1|A1Q2K2A2|A1Q1A3C1|A1Q2A3B2|A1Q2A2|A1Q2A3F1|L1A1C1|K1J1A1C1,43
B2Q1A3F1,30,4,5,A1Q1A3F1|B2Q1A3G1|A1B2Q1A3F1|Q1A3F1|B2Q1A3C1,21,D1A1Q1A3F1|B1A3F1|A1Q1A3G1|A1Q1A3C1|A1Q1A3B2|A3F1|A1Q2A3F1|Q1A3G1|C2A3F1|Q1A3C1,26
C2A3B2,30,3,11,A3B2|B1A3B2|C2A3G1|C2A3C1|C2A1B2|C2A3F1|K1A3B2|C2A3F3|Q1A3B2|Q2A3B2,51,B1A3G1|A1B2|A3G1|K1A1B2|A3C1|C2|B1A3C1|B1A3F1|L1A1B2|B2,62
D1A1Q1K1J1B1A2,30,7,6,D1A1Q1J1B1A2|D1A1Q1K1B1A2|D1A1P1K1J1B1A2|D1A1Q1K1J1A2|D1A1Q2K1J1B1A2|A1Q1K1J1B1A2,14,D1A1Q1K2B1A2|A1Q1J1B1A2|D1A1Q2J1B1A2|D1A1Q1J1A2|D1A1Q1K1A2|A1P1K1J1B1A2|A1Q1K1J1A2|A1Q2K1J1B1A2|A1B2K1J1B1A2|A1Q1K1B1A2,20
K1J1B1A3C1,30,5,5,K1J1A3C1|K1J1B1A3G1|K1B1A3C1|K1J1B1A3B2|K1J1B1A3F1,10,K1J1B1A2|B1A3C1|K1J1A1C1|K1A3C1|K1A1B1A3G1|A1B1A3C1|K1J1A3B2|L1J1A3C1|K1B1A3G1|K1B1A3B2,15
L1J1A1B1A2,30,5,3,L1J1B1A2|K1J1A1B1A2|L1A1B1A2,20,K1J1B1A2|L1J1A2|L1J1A1B2|K1A1B1A2|L1K2B1A2|A1B1A2|Q1J1B1A2|L1J1A1C1|L1J1A1|A1Q2J1A1B1A2,23
Q2A3C1,30,3,11,A3C1|B1A3C1|A1Q2A3C1|K1A3C1|C2A3C1|Q1A3C1|Q2A3G1|L1A3C1|A2Q2A3C1|Q2A1C1,61,B1A3G1|A3G1|A1C1|A3B2|B1A3B2|K1A1C1|B1A3F1|A1Q2A3G1|C1|A1Q1A3C1,72
B2Q1K2B1A2,29,5,6,A1Q1K2B1A2|Q1K2B1A2|A1B2Q1K2B1A2|B2Q1K2A2|A2Q1K2B1A2|B2Q1J1B1A2,19,D1A1Q1K2B1A2|A1Q1K2A2|B2K1J1B1A2|A1Q1J1B1A2|A1Q2K2B1A2|L1K2B1A2|K1K2B1A2|A2Q1K2A2|Q1J1B1A2|Q1K2A2,25
A1C1A3G1,28,4,6,A1Q1A3G1|A1Q2A3G1|A1B1A3G1|C1A3G1|A1B2A3G1|A1A3G1,36,B1A3G1|A3G1|A1C1|D1A1Q1A3G1|A1Q2A3C1|A1Q1A3C1|A1Q1A3B2|A1Q2A3B2|C2A3G1|A1Q1A3F1,42
A1G1,28,2,8,A1B2|A3G1|A1C1|A1|A1C2|A1B3|C2A1G1|A1A3G1,67,B1A3G1|K1A1B2|A3C1|C2|A2|B1A2|A3B2|K1A1C1|A1Q1A3G1|L1A1B2,75
A1Q2K1A2,28,4,8,A1Q2K2A2|A1Q2A2|D1A1Q2K1A2|A1Q2J1A2|A1Q2K1B1A2|A1Q1K1A2|A1Q2K1J1A2|Q2K1A2,44,A1Q1K2A2|A1Q2J1B1A2|K1A2|A1Q2A3G1|A1Q2A3C1|A1Q2A3B2|A1Q2A3F1|A1Q2K2B1A2|A1Q1A2|D1A1Q2A2,52
B1,28,1,8,C2|A2|B1A2|A1|B2|C1|B1B2|B4,40,B1A3G1|A1B2|A3G1|A1C1|A3C1|B1A3C1|A3B2|B1A3B2|B1A3F1|K1A2,48
C2A2,28,2,9,C2|A2|B1A2|K1A2|U2A2|L1A2|Q1A2|U1A2|Q2A2,58,A1B2|A3G1|A1C1|A3C1|K1J1A2|L1J1A2|A3B2|K1K2A2|A1|B2,67
K1J1A1C2,28,4,5,K1J1A1B2|K1J1A1C1|K1J1A1|K1J1C2|K1A1C2,20,K1J1B1A2|K1A1B2|K1J1A2|K1A1C1|L1J1A1B2|K1J1A1B1A2|K1A1|K1J1Q1A2|K1J1A3C1|K1J1U1A2,25
L1U1A2,28,3,8,L1J1A2|L1K2A2|K1U1A2|L1A2|L1B1A2|U1A2|L1J1U1A2|L1U2A2,41,L1J1B1A2|K1J1A2|A2|B1A2|K1K2A2|L1A1B2|K1A2|K1B1A2|U2A2|A1Q2A2,49
Q1A1B2,28,3,16,A1B2|K1A1B2|L1A1B2|D1A1B2|B1A1B2|A1Q1A1B2|C2A1B2|U2A1B2|Q2A1B2|B2A1B2,45,A1C1|A3B2|B1A3B2|K1A1C1|A1|B2|K1J1A1B2|A1Q1A3B2|L1A1|D1A1Q1A1B2,61
A1Q1K1J1A2,27,5,8,A1Q1J1A2|D1A1Q1K1J1A2|A1P1K1J1A2|A1Q1K1A2|A1Q1K1B1A2|A1Q2K1J1A2|A1Q1K1J1B1A2|A1B2K1J1A2,27,K1J1A2|A1Q1K2A2|A1Q1J1B1A2|A1Q1A2|A1Q1K2B1A2|D1A1Q1J1A2|D1A1Q1K1A2|D1A1Q1K1B1A2|A1Q2J1A2|B2K1J1A2,35
A1Q2K1J1B1A2,27,6,8,A1Q2J1B1A2|A1P1K1J1B1A2|Q2K1J1B1A2|A1Q2K1B1A2|A1B2K1J1B1A2|D1A1Q2K1J1B1A2|A1Q2K1J1A2|A1Q1K1J1B1A2,25,K1J1B1A2|B2K1J1B1A2|A1Q1J1B1A2|A1Q2K2B1A2|D1A1Q2J1B1A2|A1Q2J1A2|D1A1Q1K1J1B1A2|A1Q2K1A2|A1Q1K1J1A2|A1Q2J1A1B1A2,33
A2Q2K2B1A2,27,5,4,A1Q2K2B1A2|A2Q2K2A2|A2Q1K2B1A2|A2Q2J1B1A2,18,A1Q2J1B1A2|A1Q2K2A2|A1Q1K2B1A2|D1A1Q2K2B1A2|L1K2B1A2|K1K2B1A2|A2Q1K2A2|Q1K2B1A2|B2Q1K2B1A2|A1Q2K1B1A2,22
B2A1B2,27,3,12,A1B2|K1A1B2|L1A1B2|D1A1B2|B1A1B2|C2A1B2|U2A1B2|Q2A1B2|B2A1C1|Q1A1B2,42,A1C1|A3B2|B1A3B2|K1A1C1|A1|B2|K1J1A1B2|L1A1|L1J1A1B2|L1A1C1,54
K1A1Q2A2,27,4,6,A1Q2A2|D1A1Q2A2|K1A1B1A2|K1A1Q1A2|K1A1U1A2|K1A1U2A2,34,K1J1B1A2|K1A1B2|K1J1A2|K1A1C1|K1K2A2|K1A2|K1B1A2|A1Q2K2A2|D1A1Q1A2|K1U1A2,40
Q2K1J1B1A2,27,5,8,K1J1B1A2|B2K1J1B1A2|A1Q2K1J1B1A2|Q2J1B1A2|P1K1J1B1A2|B1K1J1B1A2|Q1K1J1B1A2|Q2K1J1A2,26,L1J1B1A2|K1J1A2|A1Q2J1B1A2|K1B1A2|A1Q1J1B1A2|K1J1A1B1A2|K1A1B1A2|K1K2B1A2|K1J1Q1A2|B2K1J1A2,34
A1B2Q1A3G1,26,5,5,A1Q1A3G1|A1B2A3G1|B2Q1A3G1|A1B2Q1A3F1|A1B2Q1A3C1,16,D1A1Q1A3G1|A1Q2A3G1|A1Q1A3C1|A1Q1A3B2|A1Q1A3F1|Q1A3G1|A1B1A3G1|A2Q1A3G1|B2Q1A3F1|A1C1A3G1,21
A1B2Q1K2A2,26,5,4,A1Q1K2A2|A1B2Q1K2B1A2|B2Q1K2A2|A1B2Q1A2,18,D1A1Q1K2A2|A1Q2K2A2|A1Q1A2|A1Q1K2B1A2|A2Q1K2A2|A1B2A2|Q1K2A2|A1Q1J1A2|A1B2Q1A3F1|B2Q1K2B1A2,22
A1Q2J1A1B1A2,26,6,3,A1Q2J1B1A2|A1Q2A1B1A2|A1Q1J1A1B1A2,14,A1Q1J1B1A2|A1Q2K2B1A2|K1J1A1B1A2|D1A1Q2J1B1A2|A1Q2J1A2|L1J1A1B1A2|A1Q2K1J1B1A2|A1Q2K1B1A2|Q2J1B1A2|A1Q2J1A1B2,17
